X,Y,Z,Hole ID,Samples_ID,Lote,Lito,Minz,EM_new,EM,Bwi_kWh_t,Axb_SMC
2364700.320000,6486339.356691,3645.496575,P784,EIS-001,Lote 1,TBXQBFP,MIXED1,mix1,mix1,11.8228,50.623
2364700.320000,6486339.597996,3630.998624,P784,EIS-002,Lote 1,TBXQBFP,MIXED2A,m2bt,m2bt,10.9374,50.358
2364700.320000,6486340.551370,3596.511938,P784,EIS-003,Lote 1,TBXQBFP,MIXED2A,m2bt,m2bt,11.8989,52.258
2364700.320000,6486341.154504,3577.521517,P784,EIS-004,Lote 1,TBXQBFP,MIXED2A,m2bt,m2bt,19.578,45.297
2364700.320000,6486342.520482,3537.544854,P784,EIS-005,Lote 1,TBXQBFP,MIXED2A,m2bt,m2bt,11.5232,48.774
2364700.320000,6486343.697398,3504.565851,P784,EIS-006,Lote 1,TBXQBFP,MIXED2A,m2bt,m2bt,8.50109,62.89
2364700.320000,6486344.323365,3487.577380,P784,EIS-007,Lote 1,TBXQBFP,MIXED2A,m2bt,m2bt,8.44764,62.682
2364700.320000,6486345.853994,3447.606683,P784,EIS-008,Lote 1,TBXQBFP,MIXED2A,m2bt,m2bt,9.28454,63.798
2364700.320000,6486346.451655,3432.618595,P784,EIS-009,Lote 1,TBXQBFP,MIXED2B,m2bt,m2bt,10.6357,47.058
2364700.320000,6486347.186269,3414.633593,P784,EIS-010,Lote 1,TBXQBFP,MIXED2B,m2bt,m2bt,9.89369,48.246
2364700.320000,6486348.556369,3381.662048,P784,EIS-011,Lote 1,TBXQBFP,PRIMARY,prim,prim,9.45168,56.61
2364700.320000,6486350.075456,3344.693262,P784,EIS-012,Lote 1,TBXQBFP,PRIMARY,prim,prim,11.6149,39.49
2365058.703000,6486345.819205,3631.469230,P786,EIS-013,Lote 1,AND,MIXED1,mix1,mix1,15.2012,32.542
2365058.703000,6486345.988283,3616.570212,P786,EIS-014,Lote 1,AND,MIXED2A,m2aa,m2aa,16.7495,28.934
2365058.703000,6486346.395179,3594.574022,P786,EIS-015,Lote 1,AND,MIXED2A,m2aa,m2aa,13.2888,31.004
